name;			Number;	Photo.link;		Type 1;	Type 2;	Ability 1;	Ability 2;	Hidden Ability;	Catch Rate;	Egg Group1;	Egg Group2;	Hp;	Atk;	Def;	Spatk;	Spdef;	Speed
Arcanine;		59;		;				Fire;	;		Intimidate;	Flash Fire;	Justified;		75;			Field;		;			90;110;80;100;80;95
Poliwag;		60;		;				Water;	;		Water Absorb;Damp;		Swift Swim;		255;		Water 1;	;			40;50;40;40;40;90
Poliwhirl;		61;		;				Water;	;		Water Absorb;Damp;		Swift Swim;		120;		Water 1;	;			65;65;65;50;50;90
Poliwrath;		62;		;				Water;	Fighting;Water Absorb;Damp;		Swift Swim;		45;			Water 1;	;			90;95;95;70;90;70
Abra;			63;		;				Psychic;;		Synchronize;Inner Focus;Magic Guard;	200;		Human-Like;	;			25;20;15;105;55;90
Kadabra;		64;		;				Psychic;;		Synchronize;Inner Focus;Magic Guard;	100;		Human-Like;	;			40;35;30;120;70;105
Alakazam;		65;		;				Psychic;;		Synchronize;Inner Focus;Magic Guard;	50;			Human-Like;	;			55;50;45;135;95;120
Machop;			66;		;				Fighting;;		Guts;		No Guard;	Steadfast;		180;		Human-Like;	;			70;80;50;35;35;35
Machoke;		67;		;				Fighting;;		Guts;		No Guard;	Steadfast;		90;			Human-Like;	;			80;100;70;50;60;45
Machamp;		68;		;				Fighting;;		Guts;		No Guard;	Steadfast;		45;			Human-Like;	;			90;130;80;65;85;55
Bellsprout;		69;		;				Grass;	Poison;	Chlorophyll;;			Gluttony;		255;		Grass;		;			50;75;35;70;30;40
Weepinbell;		70;		;				Grass;	Poison;	Chlorophyll;;			Gluttony;		120;		Grass;		;			65;90;50;85;45;55
Victreebel;		71;		;				Grass;	Poison;	Chlorophyll;;			Gluttony;		45;			Grass;		;			80;105;65;100;70;70
Tentacool;		72;		;				Water;	Poison;	Clear Body;	Liquid Ooze;Rain Dish;		190;		Water 3;	;			40;40;35;50;100;70
Tentacruel;		73;		;				Water;	Poison;	Clear Body;	Liquid Ooze;Rain Dish;		60;			Water 3;	;			80;70;65;80;120;100
Geodude;		74;		;				Rock;	Ground;	Rock Head;	Sturdy;		Sand Veil;		255;		Mineral;	;			40;80;100;30;30;20
Graveler;		75;		;				Rock;	Ground;	Rock Head;	Sturdy;		Sand Veil;		120;		Mineral;	;			55;95;115;45;45;35
Golem;			76;		;				Rock;	Ground;	Rock Head;	Sturdy;		Sand Veil;		45;			Mineral;	;			80;120;130;55;65;45
Ponyta;			77;		;				Fire;	;		Run Away;	Flash Fire;	Flame Body;		190;		Field;		;			50;85;55;65;65;90
Rapidash;		78;		;				Fire;	;		Run Away;	Flash Fire;	Flame Body;		60;			Field;		;			65;100;70;80;80;105
Slowpoke;		79;		;				Water;	Psychic;Oblivious;	Own Tempo;	Regenerator;	190;		Monster;	Water 1;	90;65;65;40;40;15
Slowbro;		80;		;				Water;	Psychic;Oblivious;	Own Tempo;	Regenerator;	75;			Monster;	Water 1;	95;75;110;100;80;30
Magnemite;		81;		;				Electric;Steel;	Magnet Pull;Sturdy;		Analytic;		190;		Mineral;	;			25;35;70;95;55;45
Magneton;		82;		;				Electric;Steel;	Magnet Pull;Sturdy;		Analytic;		60;			Mineral;	;			50;60;95;120;70;70
Farfetch'd;		83;		;				Normal;	Flying;	Keen Eye;	Inner Focus;Defiant;		45;			Flying;		Field;		52;90;55;58;62;60
Doduo;			84;		;				Normal;	Flying;	Run Away;	Early Bird;	Tangled Feet;	190;		Flying;		;			35;85;45;35;35;75
Dodrio;			85;		;				Normal;	Flying;	Run Away;	Early Bird;	Tangled Feet;	45;			Flying;		;			60;110;70;60;60;110
Seel;			86;		;				Water;	;		Thick Fat;	Hydration;	Ice Body;		190;		Water 1;	Field;		65;45;55;45;70;45
Dewgong;		87;		;				Water;	Ice;	Thick Fat;	Hydration;	Ice Body;		75;			Water 1;	Field;		90;70;80;70;95;70
Grimer;			88;		;				Poison;	;		Stench;		Sticky Hold;Poison Touch;	190;		Amorphous;	;			80;80;50;40;50;25
Muk;			89;		;				Poison;	;		Stench;		Sticky Hold;Poison Touch;	75;			Amorphous;	;			105;105;75;65;100;50
Shellder;		90;		;				Water;	;		Shell Armor;Skill Link;	Overcoat;		190;		Water 3;	;			30;65;100;45;25;40
Cloyster;		91;		;				Water;	Ice;	Shell Armor;Skill Link;	Overcoat;		60;			Water 3;	;			50;95;180;85;45;70
Gastly;			92;		;				Ghost;	Poison;	Levitate;	;			;				190;		Amorphous;	;			30;35;30;100;35;80
Haunter;		93;		;				Ghost;	Poison;	Levitate;	;			;				90;			Amorphous;	;			45;50;45;115;55;95
Gengar;			94;		;				Ghost;	Poison;	Cursed Body;;			;				45;			Amorphous;	;			60;65;60;130;75;110
Onix;			95;		;				Rock;	Ground;	Rock Head;	Sturdy;		Weak Armor;		45;			Mineral;	;			35;45;160;30;45;70
Drowzee;		96;		;				Psychic;;		Insomnia;	Forewarn;	Inner Focus;	190;		Human-Like;	;			60;48;45;43;90;42
Hypno;			97;		;				Psychic;;		Insomnia;	Forewarn;	Inner Focus;	75;			Human-Like;	;			85;73;70;73;115;67
Krabby;			98;		;				Water;	;		Hyper Cutter;Shell Armor;Sheer Force;	225;		Water 3;	;			30;105;90;25;25;50
Kingler;		99;		;				Water;	;		Hyper Cutter;Shell Armor;Sheer Force;	60;			Water 3;	;			55;130;115;50;50;75
Voltorb;		100;	;				Electric;;		Soundproof;	Static;		Aftermath;		190;		Mineral;	;			40;30;50;55;55;100
Electrode;		101;	;				Electric;;		Soundproof;	Static;		Aftermath;		60;			Mineral;	;			60;50;70;80;80;150
Exeggcute;		102;	;				Grass;	Poison;	Chlorophyll;;			Harvest;		90;			Grass;		;			60;40;80;60;45;40
Exeggutor;		103;	;				Grass;	Poison;	Chlorophyll;;			Harvest;		45;			Grass;		;			95;95;85;125;75;55
Cubone;			104;	;				Ground;	;		Rock Head;	Lightning Rod;Battle Armor;	190;		Monster;	;			50;50;95;40;50;35
Marowak;		105;	;				Ground;	;		Rock Head;	Lightning Rod;Battle Armor;	75;			Monster;	;			60;80;110;50;80;45
Hitmonlee;		106;	;				Fighting;;		Limber;		Reckless;	Unburden;		45;			Human-Like;	;			50;120;53;35;110;87
Hitmonchan;		107;	;				Fighting;;		Keen Eye;	Iron Fist;	Inner Focus;	45;			Human-Like;	;			50;105;79;35;110;76
Lickitung;		108;	;				Normal;	;		Own Tempo;	Oblivious;	Cloud Nine;		45;			Monster;	;			90;55;75;60;75;30
Koffing;		109;	;				Poison;	;		Levitate;	;			;				190;		Amorphous;	;			40;65;95;60;45;35
Weezing;		110;	;				Poison;	;		Levitate;	;			;				60;			Amorphous;	;			65;90;120;85;70;60
Rhyhorn;		111;	;				Ground;	Rock;	Lightning Rod;Rock Head;Reckless;		120;		Monster;	Field;		80;85;95;30;30;25
Rhydon;			112;	;				Ground;	Rock;	Lightning Rod;Rock Head;Reckless;		60;			Monster;	Field;		105;130;120;45;45;40
Chansey;		113;	;				Normal;	;		Natural Cure;Serene Grace;Healer;		30;			Fairy;		;			250;5;5;35;105;50
Tangela;		114;	;				Grass;	;		Chlorophyll;Leaf Guard;	Regenerator;	45;			Grass;		;			65;55;115;100;40;60
Kangaskhan;		115;	;				Normal;	;		Early Bird;	Scrappy;	Inner Focus;	45;			Monster;	;			105;95;80;40;80;90
Horsea;			116;	;				Water;	;		Swift Swim;	Sniper;		Damp;			225;		Water 1;	Dragon;		30;40;70;70;25;60
Seadra;			117;	;				Water;	;		Poison Point;Sniper;	Damp;			75;			Water 1;	Dragon;		55;65;95;95;45;85
Goldeen;		118;	;				Water;	;		Swift Swim;	Water Veil;	Lightning Rod;	225;		Water 2;	;			45;67;60;35;50;63
Seaking;		119;	;				Water;	;		Swift Swim;	Water Veil;	Lightning Rod;	60;			Water 2;	;			80;92;65;65;80;68
Staryu;			120;	;				Water;	;		Illuminate;	Natural Cure;Analytic;		225;		Water 3;	;			30;45;55;70;55;85
Starmie;		121;	;				Water;	Psychic;Illuminate;	Natural Cure;Analytic;		60;			Water 3;	;			60;75;85;100;85;115
Mr. Mime;		122;	;				Psychic;Fairy;	Soundproof;	Filter;		Technician;		45;			Human-Like;	;			40;45;65;100;120;90
Scyther;		123;	;				Bug;	Flying;	Swarm;		Technician;	Steadfast;		45;			Bug;		;			70;110;80;55;80;105
Jynx;			124;	;				Ice;	Psychic;Oblivious;	Forewarn;	Dry Skin;		45;			Human-Like;	;			65;50;35;115;95;95
Electabuzz;		125;	;				Electric;;		Static;		;			Vital Spirit;	45;			Human-Like;	;			65;83;57;95;85;105
Magmar;			126;	;				Fire;	;		Flame Body;	;			Vital Spirit;	45;			Human-Like;	;			65;95;57;100;85;93
Pinsir;			127;	;				Bug;	;		Hyper Cutter;Mold Breaker;Moxie;		45;			Bug;		;			65;125;100;55;70;85
Tauros;			128;	;				Normal;	;		Intimidate;	Anger Point;Sheer Force;	45;			Field;		;			75;100;95;40;70;110
Magikarp;		129;	;				Water;	;		Swift Swim;	;			Rattled;		255;		Water 2;	Dragon;		20;10;55;15;20;80
Gyarados;		130;	;				Water;	Flying;	Intimidate;	;			Moxie;			45;			Water 2;	Dragon;		95;125;79;60;100;81
Lapras;			131;	;				Water;	Ice;	Water Absorb;Shell Armor;Hydration;		45;			Mosnter;	Water 1;	130;85;80;85;95;60
Ditto;			132;	;				Normal;	;		Limber;		;			Imposter;		35;			Ditto;		;			48;48;48;48;48;48
Eevee;			133;	;				Normal;	;		Run Away;	Adaptability;Anticipation;	45;			Field;		;			55;55;50;45;65;55
Vaporeon;		134;	;				Water;	;		Water Absorb;;			Hydration;		45;			Field;		;			130;65;60;110;95;65
Jolteon;		135;	;				Electric;;		Volt Absorb;;			Quick Feet;		45;			Field;		;			65;65;60;110;95;130
Flareon;		136;	;				Fire;	;		Flash Fire;	;			Guts;			45;			Field;		;			65;130;60;95;110;65
Porygon;		137;	;				Normal;	;		Trace;		Download;	Analytic;		45;			Mineral;	;			65;60;70;85;75;40
Omanyte;		138;	;				Rock;	Water;	Swift Swim;	Shell Armor;Weak Armor;		45;			Water 1;	Water 3;	35;40;100;90;55;35
Omastar;		139;	;				Rock;	Water;	Swift Swim;	Shell Armor;Weak Armor;		45;			Water 1;	Water 3;	70;60;125;115;70;55
Kabuto;			140;	;				Rock;	Water;	Swift Swim;	Battle Armor;Weak Armor;	45;			Water 1;	Water 3;	30;80;90;55;45;55
Kabutops;		141;	;				Rock;	Water;	Swift Swim;	Battle Armor;Weak Armor;	45;			Water 1;	Water 3;	60;115;105;65;70;80
Aerodactyl;		142;	;				Rock;	Flying;	Rock Head;	Pressure;	Unnerve;		45;			Flying;		;			80;105;65;60;75;130
Snorlax;		143;	;				Normal;	;		Immunity;	Thick Fat;	Gluttony;		25;			Monster;	;			160;110;65;65;110;30
Articuno;		144;	;				Ice;	Flying;	Pressure;	;			Snow Cloak;		3;			Undiscovered;;			90;85;100;95;125;85
Zapdos;			145;	;				Electric;Flying;Pressure;	;			Static;			3;			Undiscovered;;			90;90;85;125;90;100
Moltres;		146;	;				Fire;	Flying;	Pressure;	;			Flame Body;		3;			Undiscovered;;			90;100;90;125;85;90
Dratini;		147;	;				Dragon;;		Shed Skin;	;			Marvel Scale;	45;			Water 1;	Dragon;		41;64;45;50;50;50
Dragonair;		148;	;				Dragon;;		Shed Skin;	;			Marvel Scale;	45;			Water 1;	Dragon;		61;84;65;70;70;70
Dragonite;		149;	;				Dragon;	Flying;	Shed Skin;	;			Multiscale;		45;			Water 1;	Dragon;		91;134;95;100;100;80
Mewtwo;			150;	;				Psychic;;		Pressure;	;			Unnerve;		3;			Undiscovered;;			106;110;90;154;90;130
Mew;			151;	;				Psychic;;		Synchronize;;			;				45;			Undiscovered;;			100;100;100;100;100;100
Chikorita;		152;	;				Grass;;			Overgrow;	;			Leaf Guard;		45;			Monster;	Grass;		45;49;65;49;65;45
Bayleef;		153;	;				Grass;;			Overgrow;	;			Leaf Guard;		45;			Monster;	Grass;		60;62;80;63;80;60
Meganium;		154;	;				Grass;;			Overgrow;	;			Leaf Guard;		45;			Monster;	Grass;		80;82;100;83;100;80
Cyndaquil;		155;	;				Fire;	;		Blaze;		;			Flash Fire;		45;			Field;		;			39;52;43;60;50;65
Quilava;		156;	;				Fire;	;		Blaze;		;			Flash Fire;		45;			Field;		;			58;64;58;80;65;80
Typhlosion;		157;	;				Fire;	;		Blaze;		;			Flash Fire;		45;			Field;		;			78;84;78;109;85;100
Totodile;		158;	;				Water;	;		Torrent;	;			Sheer Force;	45;			Monster;	Water 1;	50;65;64;44;48;43
Croconaw;		159;	;				Water;	;		Torrent;	;			Sheer Force;	45;			Monster;	Water 1;	65;80;80;59;63;58
Feraligatr;		160;	;				Water;	;		Torrent;	;			Sheer Force;	45;			Monster;	Water 1;	85;105;100;79;83;78
Sentret;		161;	;				Normal;	;		Run Away;	Keen Eye;	Frisk;			255;		Field;		;			35;46;34;35;45;20
Furret;			162;	;				Normal;	;		Run Away;	Keen Eye;	Frisk;			90;			Field;		;			85;76;64;45;55;90
Hoothoot;		163;	;				Normal;	Flying;	Insomnia;	Keen Eye;	Tinted Lens;	255;		Flying;		;			60;30;30;36;56;50
Noctowl;		164;	;				Normal;	Flying;	Insomnia;	Keen Eye;	Tinted Lens;	90;			Flying;		;			100;50;50;86;96;70
Ledyba;			165;	;				Bug;	Flying;	Swarm;		Early Bird;	Rattled;		255;		Bug;		;			40;20;30;40;80;55
Ledian;			166;	;				Bug;	Flying;	Swarm;		Early Bird;	Iron Fist;		90;			Bug;		;			55;35;50;55;110;85
Spinarak;		167;	;				Bug;	Poison;	Swarm;		Insomnia;	Sniper;			255;		Bug;		;			40;60;40;40;40;30
Ariados;		168;	;				Bug;	Poison;	Swarm;		Insomnia;	Sniper;			90;			Bug;		;			70;90;70;60;70;40
Crobat;			169;	;				Poison;	Flying;	Inner Focus;;			Infiltrator;	90;			Flying;		;			85;90;80;70;80;130
Chinchou;		170;	;				Water;	Electric;Volt Absorb;Illuminate;Water Absorb;	190;		Water 2;	;			75;38;38;56;56;67
Lanturn;		171;	;				Water;	Electric;Volt Absorb;Illuminate;Water Absorb;	75;			Water 2;	;			125;58;58;76;76;67
Pichu;			172;	;				Electric;;		Static;		;			Lightning Rod;	190;		Undiscovered;;			20;40;15;35;35;60
Cleffa;			173;	;				Fairy;	;		Cute Charm;	Magic Charm;Friend Guard;	150;		Undiscovered;;			50;25;28;45;55;15
Igglybuff;		174;	;				Normal;	Fairy;	Cute Charm;	Competitive;Friend Guard;	170;		Undiscovered;;			90;30;15;40;20;15
Togepi;			175;	;				Fairy;	;		Hustle;		Serene Grace;Super Luck;	190;		Undiscovered;;			35;20;65;40;65;20
Togetic;		176;	;				Fairy;	Flying;	Hustle;		Serene Grace;Super Luck;	75;			Flying;		Fairy;		55;40;85;80;105;40
Natu;			177;	;				Psychic;Flying;	Synchronize;Early Bird;	Magic Bounce;	190;		Flying;		;			40;50;45;70;45;70
Xatu;			178;	;				Psychic;Flying;	Synchronize;Early Bird;	Magic Bounce;	75;			Flying;		;			65;75;70;95;70;95
Mareep;			179;	;				Electric;;		Static;		;			Plus;			235;		Monster;	Field;		55;40;40;65;45;35
Flaaffy;		180;	;				Electric;;		Static;		;			Plus;			120;		Monster;	Field;		70;55;55;80;60;45
Ampharos;		181;	;				Electric;;		Static;		;			Plus;			45;			Monster;	Field;		90;75;85;115;90;55
Bellossom;		182;	;				Grass;;			Chlorophyll;;			Healer;			45;			Grass;		;			75;80;95;90;100;50
Marill;			183;	;				Water;	Fairy;	Thick Fat;	Huge Power;	Sap Sipper;		190;		Water 1;	Fairy;		70;20;50;20;50;40
Azumarill;		184;	;				Water;	Fairy;	Thick Fat;	Huge Power;	Sap Sipper;		75;			Water 1;	Fairy;		100;50;80;60;80;50
Sudowoodo;		185;	;				Rock;	;		Sturdy;		Rock Head;	Rattled;		65;			Mineral;	;			70;100;115;30;65;30
Politoed;		186;	;				Water;	;		Water Absorb;Damp;		Drizzle;		45;			Water 1;	;			90;75;75;90;100;70
Hoppip;			187;	;				Grass;	Flying;	Chlorophyll;Leaf Guard;	Infiltrator;	255;		Fairy;		Grass;		35;35;40;35;55;50
Skiploom;		188;	;				Grass;	Flying;	Chlorophyll;Leaf Guard;	Infiltrator;	120;		Fairy;		Grass;		55;45;50;45;65;80
Jumpluff;		189;	;				Grass;	Flying;	Chlorophyll;Leaf Guard;	Infiltrator;	45;			Fairy;		Grass;		75;55;70;55;95;110
Aipom;			190;	;				Normal;	;		Run Away;	Pickup;		Skill Link;		45;			Field;		;			55;70;55;40;55;85
Sunkern;		191;	;				Grass;;			Chlorophyll;Solar Power;Early Bird;		235;		Grass;		;			30;30;30;30;30;30
Sunflora;		192;	;				Grass;;			Chlorophyll;Solar Power;Early Bird;		120;		Grass;		;			75;75;55;105;85;30
Yanma;			193;	;				Bug;	Flying;	Speed Boost;	Compound Eyes;Frisk;	75;			Bug;		;			65;65;45;75;45;95
Wooper;			194;	;				Grass;	Ground;	Damp;		Water Absorb;Unaware;		255;		Water 1;	Field;		55;45;45;25;25;15
Quagsire;		195;	;				Grass;	Ground;	Damp;		Water Absorb;Unaware;		90;			Water 1;	Field;		95;85;85;65;65;35
Espeon;			196;	;				Psychic;;		Synchronize;;			Magic Bounce;	45;			Field;		;			65;65;60;130;95;110
Umbreon;		197;	;				Dark;	;		Synchronize;;			Inner Focus;	45;			Field;		;			95;65;110;60;130;65
Murkrow;		198;	;				Dark;	Flying;	Insomnia;	Super Luck;	Prankster;		30;			Flying;		;			60;85;42;85;42;91
Slowking;		199;	;				Water;	Psychic;Oblivious;	Own Tempo;	Regenerator;	70;			Monster;	Water 1;	95;75;80;100;110;30
Misdreavus;		200;	;				Ghost;	;		Levitate;	;			;				45;			Amorphous;	;			60;60;60;85;85;85
Unown;			201;	;				Psychic;;		Levitate;	;			;				225;		Undiscovered;;			48;72;48;72;48;48
Wobbuffet;		202;	;				Psychic;;		Shadow Tag;	;			Telepathy;		45;			Amorphous;	;			190;33;58;33;58;33
Girafarig;		203;	;				Normal;	Psychic;Inner Focus;Early Bird;	Sap Sipper;		60;			Field;		;			70;80;65;90;65;85
Pineco;			204;	;				Bug;	;		Sturdy;		;			Overcoat;		190;		Bug;		;			50;65;90;35;35;15
Forretress;		205;	;				Bug;	Steel;	Sturdy;		;			Overcoat;		75;			Bug;		;			75;90;140;60;60;40
Dunsparce;		206;	;				Normal;	;		Serene Grace;Run Away;	Rattled;		190;		Field;		;			100;70;70;65;65;45
Gligar;			207;	;				Ground;	Flying;	Hyper Cutter;Sand Veil;	Immunity;		60;			Bug;		;			65;75;105;35;65;85
Steelix;		208;	;				Steel;	Ground;	Rock Head;	Sturdy;		Sheer Force;	25;			Mineral;	;			75;85;200;55;65;30
Snubbull;		209;	;				Fairy;	;		Intimidate;	Run Away;	Rattled;		190;		Field;		Fairy;		60;80;50;40;40;30
Granbull;		210;	;				Fairy;	;		Intimidate;	Quick Feet;	Rattled;		75;			Field;		Fairy;		90;120;75;60;60;45
Qwilfish;		211;	;				Water;	Poison;Poison Point;Swift Swim;	Intimidate;		45;			Water 2;	;			65;95;85;55;55;85
Scizor;			212;	;				Bug;	Steel;	Swarm;		Technician;	Light Metal;	25;			Bug;		;			70;130;100;55;80;65
Shuckle;		213;	;				Bug;	Rock;	Sturdy;		Gluttony;	Contrary;		190;		Bug;		;			20;10;230;10;230;5
Heracross;		214;	;				Bug;	Fighting;Swarm;		Guts;		Moxie;			45;			Bug;		;			80;125;75;40;95;85
Sneasel;		215;	;				Dark;	Ice;	Inner Focus;Keen Eye;	Pickpocket;		60;			Field;		;			55;95;55;35;75;115
Teddiursa;		216;	;				Normal;	;		Pickup;		Quick Feet;	Honey Gather;	120;		Field;		;			60;80;50;50;50;40
Ursaring;		217;	;				Normal;	;		Guts;		Quick Feet;	Unnerve;		60;			Field;		;			90;130;75;75;75;55
Slugma;			218;	;				Fire;	;		Magma Armor;Flame Body;	Weak Armor;		190;		Amorphous;	;			40;40;40;70;40;20
Magcargo;		219;	;				Fire;	Rock;	Magma Armor;Flame Body;	Weak Armor;		75;			Amorphous;	;			60;50;120;90;80;30
Swinub;			220;	;				Ice;	Ground;	Oblivious;	Snow Cloak;	Thick Fat;		225;		Field;		;			50;50;40;30;30;50
Piloswine;		221;	;				Ice;	Ground;	Oblivious;	Snow Cloak;	Thick Fat;		75;			Field;		;			100;100;80;60;60;50
